original_id,status,final_id,problem,evaluation_purpose,action_taken,reason
ADQ-9031883a8237,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-913109be87ae,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-91c2f07bcd6f,MERGE,ADQ-892088c1c429,"duplicate of ADQ-892088c1c429 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-892088c1c429,duplicate review versions asking the same underlying question
ADQ-97437d71e5f8,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-974d2e694e78,KEEP,ADQ-974d2e694e78,was part of a 2-version duplicate cluster (CD004034),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-9f31485c8786,MERGE,ADQ-48a772fb22fc,"duplicate of ADQ-48a772fb22fc (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-48a772fb22fc,duplicate review versions asking the same underlying question
ADQ-9fa3d7c73c53,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-a0ff5baee806,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-a25fc5f4d73e,KEEP,ADQ-a25fc5f4d73e,was part of a 6-version duplicate cluster (CD003154),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-a284d6f2d590,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-a3393701b10e,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-a81ace8fded1,MERGE,ADQ-cb62adb2c14d,"duplicate of ADQ-cb62adb2c14d (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-cb62adb2c14d,duplicate review versions asking the same underlying question
ADQ-a9ce14e62a0c,REMOVE,-,reference answer does not address the question (extraction mismatch),none,removed,"answer is a generic AD-definition sentence, not a caregiving definition; repairing would require re-extracting from the source page, not available here"
ADQ-ad2a8ab0fa39,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-ad47a118c7c1,MERGE,ADQ-538943ed5228,"duplicate of ADQ-538943ed5228 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-538943ed5228,duplicate review versions asking the same underlying question
ADQ-b255b8b7cecb,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-b4429a6e8553,REMOVE,-,reference answer does not address the question (extraction mismatch),none,removed,"answer states AD subtype classification, not causes; repairing would require re-extracting from the source page, not available here"
ADQ-b5a40d6439a2,KEEP,ADQ-b5a40d6439a2,was part of a 3-version duplicate cluster (CD011922),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-b5d49cbb5553,REMOVE,-,"boilerplate methodological text, no efficacy verdict in any version",none,removed,"cluster CD001747: no member states a checkable claim; cannot repair without re-extracting the source review's actual conclusion sentence, which is not available here"
ADQ-b72057cf3101,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-b848dd75752e,REMOVE,-,"boilerplate methodological text, no efficacy verdict in any version",none,removed,"cluster CD006104: no member states a checkable claim; cannot repair without re-extracting the source review's actual conclusion sentence, which is not available here"
ADQ-b8edbd81b12a,KEEP,ADQ-b8edbd81b12a,was part of a 4-version duplicate cluster (CD005380),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-b9c484e060fe,KEEP,ADQ-b9c484e060fe,was part of a 2-version duplicate cluster (CD000359),"hallucination,out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-bcd532d64bbc,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-c00e2dbf3a00,MERGE,ADQ-b8edbd81b12a,"duplicate of ADQ-b8edbd81b12a (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-b8edbd81b12a,duplicate review versions asking the same underlying question
ADQ-c02aaa826d93,MERGE,ADQ-d34f7396ad2f,"duplicate of ADQ-d34f7396ad2f (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-d34f7396ad2f,duplicate review versions asking the same underlying question
ADQ-c2b84aae6dfc,MERGE,ADQ-974d2e694e78,"duplicate of ADQ-974d2e694e78 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-974d2e694e78,duplicate review versions asking the same underlying question
ADQ-c53d5f40b0ba,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-c8c85ae6f148,MERGE,ADQ-4ad8a5197cc5,"duplicate of ADQ-4ad8a5197cc5 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-4ad8a5197cc5,duplicate review versions asking the same underlying question
ADQ-cb62adb2c14d,KEEP,ADQ-cb62adb2c14d,was part of a 2-version duplicate cluster (CD011022),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-cdafa5328f80,MERGE,ADQ-b9c484e060fe,"duplicate of ADQ-b9c484e060fe (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-b9c484e060fe,duplicate review versions asking the same underlying question
ADQ-cde679d28855,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-cf1bafd9fcc3,MERGE,ADQ-b5a40d6439a2,"duplicate of ADQ-b5a40d6439a2 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-b5a40d6439a2,duplicate review versions asking the same underlying question
ADQ-d16bbc98799b,MERGE,ADQ-b5a40d6439a2,"duplicate of ADQ-b5a40d6439a2 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-b5a40d6439a2,duplicate review versions asking the same underlying question
ADQ-d1876117fa63,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-d322df9fbd1e,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-d34f7396ad2f,KEEP,ADQ-d34f7396ad2f,was part of a 2-version duplicate cluster (CD004514),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-d6792d7039d1,KEEP,ADQ-d6792d7039d1,was part of a 3-version duplicate cluster (CD003160),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-d7e26f001999,MERGE,ADQ-d6792d7039d1,"duplicate of ADQ-d6792d7039d1 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-d6792d7039d1,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-db2ec001ac14,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-dd542aa0a7d8,KEEP,ADQ-dd542aa0a7d8,was part of a 2-version duplicate cluster (CD000147),"hallucination,out-of-context,factual-correctness",kept as canonical,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-dd9b3174047b,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-df1b2e5cbc14,MERGE,ADQ-3f049cd4bc2d,"duplicate of ADQ-3f049cd4bc2d (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-3f049cd4bc2d,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-e2ca9eeb16e0,REMOVE,-,reference answer does not address the question (extraction mismatch),none,removed,"answer states age-of-onset facts, not prognosis/outlook; repairing would require re-extracting from the source page, not available here"
ADQ-e333780537fa,MERGE,ADQ-b8edbd81b12a,"duplicate of ADQ-b8edbd81b12a (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-b8edbd81b12a,duplicate review versions asking the same underlying question
ADQ-e4f94f853e3f,MERGE,ADQ-b8edbd81b12a,"duplicate of ADQ-b8edbd81b12a (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-b8edbd81b12a,duplicate review versions asking the same underlying question
ADQ-eb389efd27bf,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-ec37e7e55327,MERGE,ADQ-a25fc5f4d73e,"duplicate of ADQ-a25fc5f4d73e (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-a25fc5f4d73e,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-ed1b1dec0052,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-ee48a2e5fcec,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-f16bc92a0eec,MERGE,ADQ-fea5e481277a,"duplicate of ADQ-fea5e481277a (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-fea5e481277a,duplicate review versions asking the same underlying question
ADQ-f24c51261ad5,MERGE,ADQ-d6792d7039d1,"duplicate of ADQ-d6792d7039d1 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-d6792d7039d1,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-f41e610d5844,MERGE,ADQ-0b9699a5ae80,"duplicate of ADQ-0b9699a5ae80 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-0b9699a5ae80,duplicate review versions asking the same underlying question
ADQ-f50b910f6dd1,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-f978c23543e3,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-fa0be438d5cd,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-fbc28973801a,REMOVE,-,reference answer does not address the question (extraction mismatch),none,removed,"answer is a resource-link list, not a treatments answer; repairing would require re-extracting from the source page, not available here"
ADQ-fea5e481277a,KEEP,ADQ-fea5e481277a,was part of a 2-version duplicate cluster (CD001498),"hallucination,out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
