query_id,query_label,query_term,search_timestamp_utc,result_count,retrieved_pmid_count,fetched_record_count,new_unique_pmids,errors_warnings
Q5.5,MCI to AD diagnostic conversion / prodromal,"((""Cognitive Dysfunction""[Mesh] OR ""mild cognitive impairment""[tiab] OR MCI[tiab] OR ""prodromal""[tiab] OR ""preclinical""[tiab] OR ""subjective cognitive decline""[tiab]) AND (""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (diagnos*[tiab] OR criteria[tiab] OR conversion[tiab] OR progress*[tiab] OR predict*[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:17:05+00:00,10858,10858,10858,5234,
Q5.6,Early / timely / delayed AD diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Early Diagnosis""[Mesh] OR ""Delayed Diagnosis""[Mesh] OR ""early diagnosis""[tiab] OR ""timely diagnosis""[tiab] OR ""delayed diagnosis""[tiab] OR ""diagnostic delay""[tiab] OR ""late presentation""[tiab] OR ""under-recognition""[tiab] OR ""under recognition""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:19:42+00:00,2598,2598,2598,580,
Q5.7,Diagnostic error / autopsy discordance in AD,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Diagnostic Errors""[Mesh] OR misdiagnos*[tiab] OR ""missed diagnosis""[tiab] OR ""diagnostic accuracy""[tiab] OR ""clinicopathologic""[tiab] OR ""clinicopathological""[tiab] OR ""autopsy-confirmed""[tiab] OR ""neuropathologic confirmation""[tiab] OR ""neuropathologically confirmed""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:20:01+00:00,2073,2073,2073,671,
Q6.1,Named criteria / frameworks,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""NINCDS-ADRDA""[tiab] OR McKhann[tiab] OR ""NIA-AA""[tiab] OR ""National Institute on Aging""[tiab] OR ""Alzheimer's Association""[tiab] OR ""IWG""[tiab] OR ""International Working Group""[tiab] OR Dubois[tiab] OR ""DSM-5""[tiab] OR ""DSM-IV""[tiab] OR ""DSM-III""[tiab] OR ""ICD-10""[tiab] OR ""ICD-11""[tiab] OR ""ATN""[tiab] OR ""AT(N)""[tiab] OR ""Jack criteria""[tiab] OR ""IWG-2""[tiab] OR ""IWG-AA""[tiab] OR DETeCD[tiab] OR ""DETeCD-ADRD""[tiab] OR ""clinical practice guideline""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:20:20+00:00,1266,1266,1266,359,"quotedphrasesnotfound: ""Jack criteria""[tiab], ""IWG-AA""[tiab] [2021/08/30:2026/08/30] | quotedphrasesnotfound: ""Jack criteria""[tiab], ""IWG-AA""[tiab] [2021/08/30:2026/08/30]"
Q6.2,Practice guidelines MeSH,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Practice Guidelines as Topic""[Mesh] OR ""Guideline""[Publication Type] OR ""consensus""[tiab] OR ""practice guideline""[tiab] OR ""clinical practice guideline""[tiab] OR recommendation*[tiab]) AND (diagnos*[tiab] OR evaluat*[tiab] OR workup[tiab] OR ""work-up""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:20:28+00:00,1614,1614,1614,1024,
Q6.3,Clinical-biological / biomarker-supported diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""clinical-biological""[tiab] OR ""clinicobiological""[tiab] OR ""biomarker-supported""[tiab] OR ""biomarker confirmed""[tiab] OR ""biomarker-confirmed""[tiab] OR ""amyloid-positive""[tiab] OR ""tau-positive""[tiab] OR ""A+T+""[tiab] OR ""phenotype positive""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:20:58+00:00,1250,1250,1250,303,
Q7.1,"History, informant, examination","((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab] OR ""mild cognitive impairment""[tiab]) AND (""Medical History Taking""[Mesh] OR ""Physical Examination""[Mesh] OR ""history taking""[tiab] OR ""clinical interview""[tiab] OR informant[tiab] OR caregiver[tiab] OR ""collateral history""[tiab] OR ""neurological examination""[tiab] OR ""mental status""[tiab]) AND (diagnos*[tiab] OR detect*[tiab] OR screen*[tiab] OR assess*[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:21:10+00:00,3978,3978,3978,2920,
Q7.2,Cognitive / dementia tests MeSH,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR ""Cognitive Dysfunction""[Mesh]) AND (""Neuropsychological Tests""[Mesh] OR ""Mental Status and Dementia Tests""[Mesh] OR ""Psychiatric Status Rating Scales""[Mesh])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:22:28+00:00,7393,7393,7393,4421,
Q7.3,Named screening / staging instruments,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab] OR MCI[tiab] OR ""mild cognitive impairment""[tiab]) AND (MMSE[tiab] OR ""Mini-Mental""[tiab] OR MoCA[tiab] OR ""Montreal Cognitive Assessment""[tiab] OR ""Clock Drawing""[tiab] OR CDT[tiab] OR Mini-Cog[tiab] OR ""Addenbrooke""[tiab] OR ACE-III[tiab] OR ACE-R[tiab] OR ""Clinical Dementia Rating""[tiab] OR CDR[tiab] OR ""CDR-SB""[tiab] OR ADAS-Cog[tiab] OR ""ADAS Cog""[tiab] OR ""IQCODE""[tiab] OR ""GPCOG""[tiab] OR MIS[tiab] OR ""Memory Impairment Screen""[tiab] OR SLUMS[tiab] OR ""Rowland Universal""[tiab] OR RUDAS[tiab] OR ""7-minute""[tiab] OR ""five-word""[tiab] OR FCSRT[tiab] OR ""Free and Cued""[tiab] OR ""logical memory""[tiab] OR ""Boston Naming""[tiab] OR ""verbal fluency""[tiab] OR ""trail making""[tiab] OR ""NPI""[tiab] OR ""FAQ""[tiab] OR ""functional activities""[tiab] OR ""IADL""[tiab]) AND (diagnos*[tiab] OR screen*[tiab] OR detect*[tiab] OR validat*[tiab] OR sensitiv*[tiab] OR specific*[tiab] OR cutoff[tiab] OR ""cut-off""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:24:17+00:00,6189,6189,6189,2546,
Q7.4,Primary care case-finding vs specialist diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Primary Health Care""[Mesh] OR ""General Practice""[Mesh] OR ""General Practitioners""[Mesh] OR ""primary care""[tiab] OR ""general practice""[tiab] OR GP[tiab] OR ""family medicine""[tiab] OR ""memory clinic""[tiab] OR ""memory center""[tiab] OR ""cognitive clinic""[tiab] OR neurologist*[tiab] OR geriatrician*[tiab] OR ""old age psychiatry""[tiab]) AND (diagnos*[tiab] OR detect*[tiab] OR screen*[tiab] OR recognition[tiab] OR referral[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:25:05+00:00,2110,2110,2110,769,
Q8.1,Biomarkers MeSH + AD diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Biomarkers""[Mesh] OR biomarker*[tiab] OR ""fluid biomarker""[tiab] OR ""blood-based""[tiab] OR ""plasma biomarker""[tiab]) AND (diagnos*[tiab] OR ""clinical decision""[tiab] OR workup[tiab] OR ""work-up""[tiab] OR ""diagnostic use""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:25:27+00:00,6946,6946,6946,1140,
Q8.2,CSF amyloid / tau,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Cerebrospinal Fluid""[Mesh] OR CSF[tiab] OR ""cerebrospinal fluid""[tiab]) AND (""Amyloid beta-Peptides""[Mesh] OR ""tau Proteins""[Mesh] OR amyloid[tiab] OR Abeta[tiab] OR ""Aβ""[tiab] OR ""A-beta""[tiab] OR ""p-tau""[tiab] OR ptau[tiab] OR ""phosphorylated tau""[tiab] OR ""total tau""[tiab]) AND (diagnos*[tiab] OR discrimin*[tiab] OR differentiat*[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:26:07+00:00,1751,1751,1751,61,
Q8.3,"Blood biomarkers (p-tau217, Aβ42/40, NfL, GFAP)","((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (plasma[tiab] OR serum[tiab] OR blood[tiab] OR ""blood-based""[tiab]) AND (""p-tau217""[tiab] OR ptau217[tiab] OR ""p-tau181""[tiab] OR ptau181[tiab] OR ""p-tau231""[tiab] OR ""Abeta42""[tiab] OR ""Aβ42""[tiab] OR ""Aβ40""[tiab] OR NfL[tiab] OR ""neurofilament""[tiab] OR GFAP[tiab] OR ""glial fibrillary""[tiab]) AND (diagnos*[tiab] OR triage[tiab] OR ""clinical use""[tiab] OR ""decision""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:26:12+00:00,1351,1351,1351,22,
Q8.4,Structural MRI,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Magnetic Resonance Imaging""[Mesh] OR MRI[tiab] OR ""hippocampal atrophy""[tiab] OR ""medial temporal""[tiab] OR ""Scheltens""[tiab] OR ""MTA scale""[tiab] OR volumetr*[tiab]) AND (diagnos*[tiab] OR differentiat*[tiab] OR ""clinical diagnosis""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:26:16+00:00,3071,3071,3071,201,
Q8.5,"PET (amyloid, tau, FDG)","((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Positron-Emission Tomography""[Mesh] OR PET[tiab] OR ""amyloid PET""[tiab] OR ""tau PET""[tiab] OR FDG-PET[tiab] OR ""fluorodeoxyglucose""[tiab] OR PiB[tiab] OR florbetapir[tiab] OR florbetaben[tiab] OR flutemetamol[tiab]) AND (diagnos*[tiab] OR ""clinical decision""[tiab] OR ""appropriate use""[tiab] OR ""diagnostic utility""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:26:28+00:00,2020,2020,2020,64,
Q8.6,Other imaging / DaTscan for differential,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR ""Lewy Body Disease""[Mesh] OR ""Dementia, Vascular""[Mesh]) AND (""Dopamine Plasma Membrane Transport Proteins""[Mesh] OR DaTscan[tiab] OR ""DAT scan""[tiab] OR SPECT[tiab] OR ""FP-CIT""[tiab] OR ""diffusion tensor""[tiab] OR DTI[tiab]) AND (diagnos*[tiab] OR differentiat*[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:26:33+00:00,341,341,341,34,
Q9.1,CDS for AD / dementia diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab] OR ""mild cognitive impairment""[tiab]) AND (""Decision Support Systems, Clinical""[Mesh] OR ""clinical decision support""[tiab] OR CDSS[tiab] OR CDS[tiab] OR ""computer-aided diagnosis""[tiab] OR ""computer assisted diagnosis""[tiab] OR ""Decision Support Techniques""[Mesh])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:26:39+00:00,400,400,400,167,
Q9.2,AI / ML differential diagnosis of dementia etiologies,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Artificial Intelligence""[Mesh] OR ""Machine Learning""[Mesh] OR ""Deep Learning""[Mesh] OR ""Neural Networks, Computer""[Mesh] OR ""artificial intelligence""[tiab] OR ""machine learning""[tiab] OR ""deep learning""[tiab] OR ""natural language processing""[tiab] OR NLP[tiab]) AND (diagnos*[tiab] OR classif*[tiab] OR differentiat*[tiab] OR ""decision support""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:26:45+00:00,4165,4165,4165,928,
Q9.3,Expert systems / knowledge-based diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Expert Systems""[Mesh] OR ""expert system""[tiab] OR ""knowledge-based""[tiab] OR ""rule-based""[tiab] OR ontology[tiab] OR ""Bayesian network""[tiab] OR ""diagnostic expert""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:27:10+00:00,696,696,696,467,
Q10.1,Medical education / expertise in dementia diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Education, Medical""[Mesh] OR ""Clinical Competence""[Mesh] OR ""clinical competence""[tiab] OR expertise[tiab] OR ""novice""[tiab] OR ""think-aloud""[tiab] OR ""think aloud""[tiab] OR ""cognitive task analysis""[tiab]) AND (diagnos*[tiab] OR reasoning[tiab] OR ""decision making""[tiab] OR ""decision-making""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:27:25+00:00,162,162,162,44,
Q10.2,Disclosure / communicating diagnosis (adjacent to diagnostic process),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Truth Disclosure""[Mesh] OR disclos*[tiab] OR ""breaking bad news""[tiab] OR ""telling the diagnosis""[tiab] OR ""diagnostic disclosure""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:27:29+00:00,462,462,462,238,"quotedphrasesnotfound: ""telling the diagnosis""[tiab] [2021/08/30:2026/08/30] | quotedphrasesnotfound: ""telling the diagnosis""[tiab] [2021/08/30:2026/08/30]"
Q11.1,Age / sex / APOE as diagnostic context,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (diagnos*[tiab]) AND (""Aged""[Mesh] OR ""Aged, 80 and over""[Mesh] OR ""Apolipoprotein E4""[Mesh] OR APOE[tiab] OR ""young onset""[tiab] OR ""early-onset""[tiab] OR EOAD[tiab] OR LOAD[tiab] OR ""sex differences""[tiab] OR ""gender differences""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:27:38+00:00,5712,5712,5712,473,
Q11.2,Health disparities in diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Healthcare Disparities""[Mesh] OR disparit*[tiab] OR inequit*[tiab] OR ""health literacy""[tiab] OR ""rural""[tiab] OR ""race""[tiab] OR ethnic*[tiab] OR ""socioeconomic""[tiab]) AND (diagnos*[tiab] OR underdiagnos*[tiab] OR detection[tiab] OR recognition[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:27:49+00:00,1800,1800,1800,633,
Q13.1,Thesis core: reasoning + AD diagnosis (balanced),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR ""AD dementia""[tiab]) AND ( ""Clinical Decision-Making""[Mesh] OR ""Decision Support Systems, Clinical""[Mesh] OR ""Diagnosis, Differential""[Mesh] OR ""Diagnostic Errors""[Mesh] OR ""clinical reasoning""[tiab] OR ""diagnostic reasoning""[tiab] OR ""clinical decision-making""[tiab] OR ""clinical decision making""[tiab] OR ""clinical judgement""[tiab] OR ""clinical judgment""[tiab] OR ""diagnostic process""[tiab] OR ""diagnostic workup""[tiab] OR ""diagnostic work-up""[tiab] OR ""clinical diagnosis""[tiab] OR ""differential diagnosis""[tiab] OR misdiagnos*[tiab] OR ""diagnostic criteria""[tiab] ) AND Humans[Mesh]) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:28:13+00:00,1587,1587,1587,0,
Q13.2,"Clinical diagnosis and criteria (less ""reasoning"" language, more diagnostic literature)","((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Alzheimer Disease/diagnosis""[Mesh] OR ""clinical diagnosis""[tiab] OR ""diagnostic criteria""[tiab] OR ""NIA-AA""[tiab] OR ""NINCDS-ADRDA""[tiab] OR ""International Working Group""[tiab] OR ""IWG""[tiab] OR DETeCD[tiab]) AND Humans[Mesh]) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:28:15+00:00,9752,9752,9752,0,
Q13.3,Differential diagnosis of AD vs other causes,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Diagnosis, Differential""[Mesh] OR ""differential diagnosis""[tiab] OR differentiat*[tiab] OR distinguish*[tiab]) AND (""Dementia, Vascular""[Mesh] OR ""Lewy Body Disease""[Mesh] OR ""Frontotemporal Dementia""[Mesh] OR depression[tiab] OR ""normal pressure hydrocephalus""[tiab] OR ""mixed dementia""[tiab] OR LATE[tiab]) AND Humans[Mesh]) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:28:17+00:00,705,705,705,29,
Q13.4,"How clinicians evaluate suspected AD (history, tests, imaging, biomarkers)","((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR ""mild cognitive impairment""[tiab]) AND (""diagnostic evaluation""[tiab] OR ""diagnostic workup""[tiab] OR ""diagnostic work-up""[tiab] OR ""approach to""[tiab] OR ""clinical assessment""[tiab] OR ""stepwise""[tiab] OR ""tiered""[tiab] OR guideline*[tiab]) AND Humans[Mesh]) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:28:21+00:00,2766,2766,2766,1183,
Q13.5,CDS / AI for AD diagnosis (if the thesis includes computational support),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""Decision Support Systems, Clinical""[Mesh] OR ""clinical decision support""[tiab] OR ""Artificial Intelligence""[Mesh] OR ""Machine Learning""[Mesh] OR ""machine learning""[tiab] OR ""deep learning""[tiab] OR ""artificial intelligence""[tiab]) AND (diagnos*[tiab] OR differentiat*[tiab] OR classif*[tiab]) AND Humans[Mesh]) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:28:51+00:00,2575,2575,2575,0,
