question_id,question,reference_answer,reference_source,reference_locator,reference_date,topic,subtopic,temporal_candidate,ambiguity_candidate,automatic_failures,reviewer_decision,reviewer_note
ADQ-7f02400764e8,Is structural MRI effective for the early diagnosis of dementia due to Alzheimer's disease in people with mild cognitive impairment?,"The volume of hippocampus or medial temporal lobe, the most studied brain regions, showed low sensitivity and specificity and did not qualify structural MRI as a stand-alone add-on test for an early diagnosis of dementia due to Alzheimer's...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2020 Mar 2;3(3):CD009628. doi: 10.1002/14651858.CD009628.pub2.,PMID:32119112 | CD009628.pub2 | doi:10.1002/14651858.CD009628.pub2,2020-03,diagnosis,diagnostic_accuracy,True,False,,,
ADQ-3d7b98d38025,Is the Mini-Cog effective for diagnosing Alzheimer's disease dementia and other dementias in secondary care settings?,Those identified were at high risk of bias related to patient selection and high concerns related to index test conduct and applicability.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2019 Sep 14;9(9):CD011414. doi: 10.1002/14651858.CD011414.pub2.,PMID:31521064 | CD011414.pub2 | doi:10.1002/14651858.CD011414.pub2,2019-09,diagnosis,diagnostic_accuracy,True,True,,,
ADQ-a25fc5f4d73e,Does memantine provide benefits for people with dementia?,We found important differences in the efficacy of memantine in mild AD compared to that in moderate-to-severe AD.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2019 Mar 20;3(3):CD003154. doi: 10.1002/14651858.CD003154.pub6.,PMID:30891742 | CD003154.pub6 | doi:10.1002/14651858.CD003154.pub6,2019-03,treatment,pharmacological,True,False,,,
ADQ-cf1bafd9fcc3,Do pharmacological or non-pharmacological interventions effectively treat epilepsy in people with Alzheimer's disease?,"Regarding efficacy and tolerability, no significant differences were found between LEV, PB and LTG.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2018 Dec 20;12(12):CD011922. doi: 10.1002/14651858.CD011922.pub3.,PMID:30570742 | CD011922.pub3 | doi:10.1002/14651858.CD011922.pub3,2018-12,treatment,pharmacological,True,False,,,
ADQ-0b9699a5ae80,Does donepezil improve cognitive function in people with Alzheimer's disease?,"There is moderate-quality evidence that people with mild, moderate or severe dementia due to Alzheimer's disease treated for periods of 12 or 24 weeks with donepezil experience small benefits in cognitive function, activities of daily...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2018 Jun 18;6(6):CD001190. doi: 10.1002/14651858.CD001190.pub3.,PMID:29923184 | CD001190.pub3 | doi:10.1002/14651858.CD001190.pub3,2018-06,treatment,pharmacological,True,False,,,
ADQ-3e1770b0f392,Can pharmacotherapies effectively treat apathy in Alzheimer's disease?,"Methylphenidate may demonstrate a benefit for apathy and may have slight benefits for cognition and functional performance in people with AD, but this finding is associated with low-quality evidence.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2018 May 4;5(5):CD012197. doi: 10.1002/14651858.CD012197.pub2.,PMID:29727467 | CD012197.pub2 | doi:10.1002/14651858.CD012197.pub2,2018-05,management,neuropsychiatric_symptoms,True,False,,,
ADQ-ad47a118c7c1,Is the Mini-Cog an accurate tool for diagnosing dementia in primary care?,There is a limited number of studies evaluating the accuracy of the Mini-Cog for the diagnosis of dementia in primary care settings.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2018 Feb 22;2(2):CD011415. doi: 10.1002/14651858.CD011415.pub2.,PMID:29470861 | CD011415.pub2 | doi:10.1002/14651858.CD011415.pub2,2018-02,diagnosis,diagnostic_accuracy,True,True,,,
ADQ-8e3b1dcc4781,Is there a reliable method to predict the progression from mild cognitive impairment to Alzheimer's disease?,"Due to the varying sensitivity and specificity for predicting the progression from MCI to ADD and the limited data available, we cannot recommend routine use of",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2017 Nov 22;11(11):CD012884. doi: 10.1002/14651858.CD012884.,PMID:29164602 | CD012884 | doi:10.1002/14651858.CD012884,2017-11,disease_course,progression,False,True,,,
ADQ-48a772fb22fc,Does vitamin E help improve cognitive function in people with mild cognitive impairment or Alzheimer's disease?,"We found no evidence that the alpha-tocopherol form of vitamin E given to people with MCI prevents progression to dementia, or that it improves cognitive function in people with MCI or dementia due to AD.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2017 Apr 18;4(4):CD002854. doi: 10.1002/14651858.CD002854.pub5.,PMID:28418065 | CD002854.pub5 | doi:10.1002/14651858.CD002854.pub5,2017-04,treatment,pharmacological,True,False,,,
ADQ-dd9b3174047b,Can CSF tau biomarkers accurately predict the progression from mild cognitive impairment to Alzheimer's disease?,"The insufficiency and heterogeneity of research to date primarily leads to a state of uncertainty regarding the value of CSF testing of t-tau, p-tau or p-tau/ABeta ratio for the diagnosis of Alzheimer's disease in current clinical practice.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2017 Mar 22;3(3):CD010803. doi: 10.1002/14651858.CD010803.pub2.,PMID:28328043 | CD010803.pub2 | doi:10.1002/14651858.CD010803.pub2,2017-03,diagnosis,biomarkers,True,True,,,
ADQ-a81ace8fded1,Is dance movement therapy effective for improving symptoms in people with dementia?,"Trials of high methodological quality, large sample sizes and clarity in the way the intervention is put together and delivered are needed to assess whether dance movement therapy is an effective intervention for dementia.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2017 Feb 3;2(2):CD011022. doi: 10.1002/14651858.CD011022.pub2.,PMID:28155990 | CD011022.pub2 | doi:10.1002/14651858.CD011022.pub2,2017-02,management,neuropsychiatric_symptoms,True,True,,,
ADQ-d16bbc98799b,Is the treatment of epilepsy effective and tolerable for people with Alzheimer's disease?,"Regarding the efficacy and tolerability, no significant differences were found between LEV, PB and LTG.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2016 Nov 2;11(11):CD011922. doi: 10.1002/14651858.CD011922.pub2.,PMID:27805721 | CD011922.pub2 | doi:10.1002/14651858.CD011922.pub2,2016-11,treatment,pharmacological,True,True,,,
ADQ-f978c23543e3,Can omega-3 fatty acid supplements improve brain function in people with dementia?,We found no convincing evidence for the efficacy of omega-3 PUFA supplements in the treatment of mild to moderate AD.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2016 Apr 11;4(4):CD009002. doi: 10.1002/14651858.CD009002.pub3.,PMID:27063583 | CD009002.pub3 | doi:10.1002/14651858.CD009002.pub3,2016-04,treatment,pharmacological,True,False,,,
ADQ-d6792d7039d1,Do statins prevent dementia in people at risk due to age?,There is good evidence that statins given in late life to people at risk of vascular disease do not prevent cognitive decline or dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2016 Jan 4;2016(1):CD003160. doi: 10.1002/14651858.CD003160.pub3.,PMID:26727124 | CD003160.pub3 | doi:10.1002/14651858.CD003160.pub3,2016-01,mechanism,genetics,True,False,,,
ADQ-80dba91f533e,Are anti-dementia medications effective in treating cognitive decline in people with Down syndrome?,"Due to the low quality of the body of evidence in this review, it is difficult to draw conclusions about the effectiveness of any pharmacological intervention for cognitive decline in people with Down syndrome.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2015 Oct 29;2015(10):CD011546. doi: 10.1002/14651858.CD011546.pub2.,PMID:26513128 | CD011546.pub2 | doi:10.1002/14651858.CD011546.pub2,2015-10,treatment,pharmacological,True,True,,,
ADQ-31c3005691db,Is rivastigmine effective and safe for treating Alzheimer's disease?,Rivastigmine (6 to 12 mg daily orally or 9.5 mg daily transdermally) appears to be beneficial for people with mild to moderate Alzheimer's disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2015 Sep 22;9(9):CD001191. doi: 10.1002/14651858.CD001191.pub4.,PMID:26393402 | CD001191.pub4 | doi:10.1002/14651858.CD001191.pub4,2015-09,treatment,pharmacological,True,False,,,
ADQ-72e64932d061,Is the Mini-Cog an effective tool for detecting Alzheimer's disease in community settings?,There are currently few studies assessing the diagnostic test accuracy of the Mini-Cog in community settings.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2015 Feb 3;(2):CD010860. doi: 10.1002/14651858.CD010860.pub2.,PMID:25922857 | CD010860.pub2 | doi:10.1002/14651858.CD010860.pub2,2015-02,diagnosis,diagnostic_accuracy,True,True,,,
ADQ-35ee11c27606,Does latrepirdine improve cognition and function in Alzheimer's disease?,"Our meta-analysis is limited by the small number of studies, imprecision, inconsistencies between studies and likelihood of bias.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2015 Apr 21;2015(4):CD009524. doi: 10.1002/14651858.CD009524.pub2.,PMID:25897825 | CD009524.pub2 | doi:10.1002/14651858.CD009524.pub2,2015-04,treatment,pharmacological,True,False,,,
ADQ-2914e16813f7,Is the Mini-Mental State Examination effective in predicting dementia in individuals with mild cognitive impairment?,Our review did not find evidence supporting a substantial role of MMSE as a stand-alone single-administration test in the identification of MCI patients who could develop dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2015 Mar 5;2015(3):CD010783. doi: 10.1002/14651858.CD010783.pub2.,PMID:25740785 | CD010783.pub2 | doi:10.1002/14651858.CD010783.pub2,2015-03,diagnosis,diagnostic_accuracy,True,False,,,
ADQ-267ce9358a69,Do cholinesterase inhibitors improve cognitive function in patients with rarer dementias?,"The sample sizes of most included trials were small, and some of the results were extracted from only one study.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2015 Mar 3;2015(3):CD009444. doi: 10.1002/14651858.CD009444.pub3.,PMID:25734590 | CD009444.pub3 | doi:10.1002/14651858.CD009444.pub3,2015-03,epidemiology,risk_and_frequency,True,True,,,
ADQ-2bd673ac07c4,Can ¹⁸F-FDG PET scans accurately predict the progression of mild cognitive impairment to Alzheimer's disease?,It is difficult to determine to what extent the findings from the meta-analysis can be applied to clinical practice.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2015 Jan 28;1(1):CD010632. doi: 10.1002/14651858.CD010632.pub2.,PMID:25629415 | CD010632.pub2 | doi:10.1002/14651858.CD010632.pub2,2015-01,diagnosis,biomarkers,True,False,,,
ADQ-44d10f70273f,Is the (11)C-PIB-PET scan effective in diagnosing early Alzheimer's disease dementia?,"Although the good sensitivity achieved in some included studies is promising for the value of (11)C-PIB-PET, given the heterogeneity in the conduct and interpretation of the test and the lack of defined thresholds for determination of test...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2014 Jul 23;2014(7):CD010386. doi: 10.1002/14651858.CD010386.pub2.,PMID:25052054 | CD010386.pub2 | doi:10.1002/14651858.CD010386.pub2,2014-07,diagnosis,biomarkers,True,True,,,
ADQ-3f049cd4bc2d,Do statins improve cognitive function in Alzheimer's disease or vascular dementia?,"Analyses from the studies available, including two large randomised controlled trials, indicate that statins have no benefit on the primary outcome measures of ADAS-Cog or MMSE.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2014 Jul 8;(7):CD007514. doi: 10.1002/14651858.CD007514.pub3.,PMID:25004278 | CD007514.pub3 | doi:10.1002/14651858.CD007514.pub3,2014-07,mechanism,genetics,True,False,,,
ADQ-7c94dbae578f,Are plasma and CSF Aß levels accurate for detecting patients with mild cognitive impairment who will develop Alzheimer's disease dementia?,"The proposed diagnostic criteria for prodromal dementia and MCI due to Alzheimer's disease, although still being debated, would be fulfilled where there is both core clinical and cognitive criteria and a single biomarker abnormality.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2014 Jun 10;2014(6):CD008782. doi: 10.1002/14651858.CD008782.pub4.,PMID:24913723 | CD008782.pub4 | doi:10.1002/14651858.CD008782.pub4,2014-06,diagnosis,biomarkers,True,False,,,
ADQ-eb389efd27bf,Do drug treatments improve sleep disorders in people with Alzheimer's disease?,We discovered a distinct lack of evidence to help guide drug treatment of sleep problems in AD.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2014 Mar 21;(3):CD009178. doi: 10.1002/14651858.CD009178.pub2.,PMID:24659320 | CD009178.pub2 | doi:10.1002/14651858.CD009178.pub2,2014-03,management,neuropsychiatric_symptoms,True,True,,,
ADQ-b8edbd81b12a,Are metal protein attenuating compounds effective for treating cognitive impairment in Alzheimer's dementia?,"There is an absence of evidence as to whether clioquinol (PBT1) has any positive clinical benefit for patients with AD, or whether the drug is safe.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2014 Feb 21;(2):CD005380. doi: 10.1002/14651858.CD005380.pub5.,PMID:24563468 | CD005380.pub5 | doi:10.1002/14651858.CD005380.pub5,2014-02,treatment,pharmacological,True,True,,,
ADQ-87188406561a,Is galantamine effective in treating vascular cognitive impairment or vascular dementia?,Limited data were available when considering the impact of galantamine on vascular dementia or vascular cognitive impairment.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jan 25;(4):CD004746. doi: 10.1002/14651858.CD004746.pub2.,PMID:23862185 | CD004746.pub2 | doi:10.1002/14651858.CD004746.pub2,2006-01,treatment,pharmacological,True,False,,,
ADQ-892088c1c429,Does cognitive training improve outcomes for people with mild Alzheimer's disease or vascular dementia?,"Available evidence regarding cognitive training remains limited, and the quality of the evidence needs to improve.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2013 Jun 5;2013(6):CD003260. doi: 10.1002/14651858.CD003260.pub2.,PMID:23740535 | CD003260.pub2 | doi:10.1002/14651858.CD003260.pub2,2013-06,management,caregiving,True,False,,,
ADQ-4ad8a5197cc5,Is rivastigmine effective in treating vascular cognitive impairment or vascular dementia?,There is some evidence of benefit of rivastigmine in VCI from trial data from three studies.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2013 May 31;(5):CD004744. doi: 10.1002/14651858.CD004744.pub3.,PMID:23728651 | CD004744.pub3 | doi:10.1002/14651858.CD004744.pub3,2013-05,treatment,pharmacological,True,False,,,
ADQ-0973ceb82fdc,Can older people with dementia safely stop taking antipsychotic medications?,Our findings suggest that many older people with Alzheimer's dementia and NPS can be withdrawn from chronic antipsychotic medication without detrimental effects on their behaviour.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2013 Mar 28;(3):CD007726. doi: 10.1002/14651858.CD007726.pub2.,PMID:23543555 | CD007726.pub2 | doi:10.1002/14651858.CD007726.pub2,2013-03,management,neuropsychiatric_symptoms,True,False,,,
ADQ-6de417cf1fc3,Is huperzine A effective and safe for treating mild cognitive impairment?,The currently available evidence is insufficient to assess the potential for huperzine A in the treatment of MCI.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2012 Dec 12;12(12):CD008827. doi: 10.1002/14651858.CD008827.pub2.,PMID:23235666 | CD008827.pub2 | doi:10.1002/14651858.CD008827.pub2,2012-12,treatment,pharmacological,True,True,,,
ADQ-6d6365171bd4,Is vitamin E effective in treating Alzheimer's disease or preventing mild cognitive impairment from progressing to dementia?,No convincing evidence that vitamin E is of benefit in the treatment of AD or MCI.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2012 Nov 14;11(11):CD002854. doi: 10.1002/14651858.CD002854.pub3.,PMID:23152215 | CD002854.pub3 | doi:10.1002/14651858.CD002854.pub3,2012-11,prevention,risk_reduction,True,False,,,
ADQ-c00e2dbf3a00,Do metal protein attenuating compounds help improve cognitive function in Alzheimer's dementia?,"There is an absence of evidence as to whether clioquinol (PBT1) has any positive clinical benefit for patients with AD, or whether the drug is safe.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2012 May 16;5(5):CD005380. doi: 10.1002/14651858.CD005380.pub4.,PMID:22592705 | CD005380.pub4 | doi:10.1002/14651858.CD005380.pub4,2012-05,treatment,pharmacological,True,True,,,
ADQ-1b40adeef897,Do aspirin and anti-inflammatory drugs effectively treat Alzheimer's disease?,"Based on the studies carried out so far, the efficacy of aspirin, steroid and NSAIDs (traditional NSAIDs and COX-2 inhibitors) is not proven.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2012 Feb 15;2012(2):CD006378. doi: 10.1002/14651858.CD006378.pub2.,PMID:22336816 | CD006378.pub2 | doi:10.1002/14651858.CD006378.pub2,2012-02,treatment,pharmacological,True,False,,,
ADQ-12073e0abbd2,Are antidepressants effective and safe for treating agitation and psychosis in older adults with dementia?,Currently there are relatively few studies of antidepressants for the treatment of agitation and psychosis in dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2011 Feb 16;(2):CD008191. doi: 10.1002/14651858.CD008191.pub2.,PMID:21328305 | CD008191.pub2 | doi:10.1002/14651858.CD008191.pub2,2011-02,management,neuropsychiatric_symptoms,True,False,,,
ADQ-df1b2e5cbc14,Are statins effective in treating dementia?,There is insufficient evidence to recommend statins for the treatment of dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2010 Aug 4;(8):CD007514. doi: 10.1002/14651858.CD007514.pub2.,PMID:20687089 | CD007514.pub2 | doi:10.1002/14651858.CD007514.pub2,2010-08,treatment,pharmacological,True,False,,,
ADQ-ad2a8ab0fa39,Do Special Care Units improve behavioral problems in dementia patients?,"There are no identified RCTs investigating the effects of SCUs on behavioural symptoms in dementia, and no strong evidence of benefit from the available non-RCTs.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2009 Oct 7;(4):CD006470. doi: 10.1002/14651858.CD006470.pub2.,PMID:19821370 | CD006470.pub2 | doi:10.1002/14651858.CD006470.pub2,2009-10,management,neuropsychiatric_symptoms,True,False,,,
ADQ-974d2e694e78,Does lowering blood pressure in older adults prevent cognitive decline and dementia?,There is no convincing evidence from the trials identified that blood pressure lowering in late-life prevents the development of dementia or cognitive impairment in hypertensive patients with no apparent prior cerebrovascular disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2009 Oct 7;2009(4):CD004034. doi: 10.1002/14651858.CD004034.pub3.,PMID:19821318 | CD004034.pub3 | doi:10.1002/14651858.CD004034.pub3,2009-10,prevention,risk_reduction,True,False,,,
ADQ-f50b910f6dd1,Are cannabinoids clinically effective in treating dementia?,More randomized double-blind placebo controlled trials are needed to determine whether cannabinoids are clinically effective in the treatment of dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2009 Apr 15;2009(2):CD007204. doi: 10.1002/14651858.CD007204.pub2.,PMID:19370677 | CD007204.pub2 | doi:10.1002/14651858.CD007204.pub2,2009-04,treatment,pharmacological,True,False,,,
ADQ-f24c51261ad5,Do statins help prevent dementia?,There is good evidence from RCTs that statins given in late life to individuals at risk of vascular disease have no effect in preventing AD or dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2009 Apr 15;(2):CD003160. doi: 10.1002/14651858.CD003160.pub2.,PMID:19370582 | CD003160.pub2 | doi:10.1002/14651858.CD003160.pub2,2009-04,prevention,risk_reduction,True,False,,,
ADQ-312855c07555,Is rivastigmine effective and safe for treating Alzheimer's dementia in people with Down Syndrome?,"As there are no included trials, recommendations cannot be made about rivastigmine for AD in DS.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2009 Jan 21;2009(1):CD007658. doi: 10.1002/14651858.CD007658.,PMID:19160344 | CD007658 | doi:10.1002/14651858.CD007658,2009-01,treatment,pharmacological,False,True,,,
ADQ-06bef4f0b87f,Is donepezil effective and safe for people with Down syndrome who develop Alzheimer's dementia?,To date there is only one small randomised controlled study on the effect of donepezil.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2009 Jan 21;2009(1):CD007178. doi: 10.1002/14651858.CD007178.pub2.,PMID:19160328 | CD007178.pub2 | doi:10.1002/14651858.CD007178.pub2,2009-01,treatment,pharmacological,True,True,,,
ADQ-bcd532d64bbc,Does estrogen replacement therapy help improve cognitive function in postmenopausal women with dementia?,"Currently, HRT or ERT for cognitive improvement or maintenance is not indicated for women with AD.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2009 Jan 21;2009(1):CD003799. doi: 10.1002/14651858.CD003799.pub2.,PMID:19160224 | CD003799.pub2 | doi:10.1002/14651858.CD003799.pub2,2009-01,treatment,non_pharmacological,True,False,,,
ADQ-d34f7396ad2f,Does folic acid supplementation help prevent cognitive impairment in the elderly?,"The small number of studies which have been done provide no consistent evidence either way that folic acid, with or without vitamin B12, has a beneficial effect on cognitive function of unselected healthy or cognitively impaired older...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2008 Oct 8;(4):CD004514. doi: 10.1002/14651858.CD004514.pub2.,PMID:18843658 | CD004514.pub2 | doi:10.1002/14651858.CD004514.pub2,2008-10,prevention,risk_reduction,True,True,,,
ADQ-97437d71e5f8,Is Huperzine A effective and safe for treating Alzheimer's disease?,"From the available evidence, Huperzine A seems to have some beneficial effects on improvement of general cognitive function, global clinical status, behavioral disturbance and functional performance, with no obvious serious adverse events...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2008 Apr 16;(2):CD005592. doi: 10.1002/14651858.CD005592.pub2.,PMID:18425924 | CD005592.pub2 | doi:10.1002/14651858.CD005592.pub2,2008-04,treatment,pharmacological,True,True,,,
ADQ-e333780537fa,Are metal protein attenuating compounds effective in treating cognitive impairment in Alzheimer's disease?,"There is an absence of evidence as to whether clioquinol (PBT1) has any positive clinical benefit for patients with AD, or whether the drug is safe.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2008 Jan 23;(1):CD005380. doi: 10.1002/14651858.CD005380.pub3.,PMID:18254079 | CD005380.pub3 | doi:10.1002/14651858.CD005380.pub3,2008-01,treatment,pharmacological,True,True,,,
ADQ-2471c8c0f154,Do health and social interventions effectively support carers of people with Alzheimer's-type dementias?,"With the limited nature of the research evidence in mind, it is not possible to recommend either wholesale investment in caregiver support programmes or withdrawal of the same.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2007 Jul 18;(3):CD000454. doi: 10.1002/14651858.CD000454.,PMID:17636637 | CD000454 | doi:10.1002/14651858.CD000454,2007-07,management,caregiving,False,True,,,
ADQ-6fa252b11b5c,Does DHEA or DHEAS improve cognitive function in older adults or those with dementia?,The data offer no support at present for an improvement in memory or other aspects of cognitive function following DHEA treatment in normal older people.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2007 Jul 18;2006(2):CD000304. doi: 10.1002/14651858.CD000304.pub2.,PMID:17636627 | CD000304.pub2 | doi:10.1002/14651858.CD000304.pub2,2007-07,general,unclassified,True,False,,,
ADQ-8cef76b68a6f,Is tacrine an effective treatment for the symptoms of Alzheimer's disease?,"However, as so few trials presented data in a format suitable for pooling, the results of this review may be modified when further data from all relevant trials are included.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2007 Jul 18;(3):CD000202. doi: 10.1002/14651858.CD000202.,PMID:17636619 | CD000202 | doi:10.1002/14651858.CD000202,2007-07,treatment,pharmacological,False,False,,,
