chunk_id,document_id,source_tier,automatic_labels,automatic_confidence,automatic_evidence_levels,ad_relevant,ad_relevance_score,human_labels,annotator_notes
PMC6631858.1#4. Materials and Methods.4,PMC6631858.1,peer_reviewed_primary,eligibility,0.04,,True,0.8,,
PMC9246276.1#Results.3,PMC9246276.1,peer_reviewed_primary,epidemiology;risk_factor;diagnosis;staging;prognosis;pathology;biomarker;amyloid;genetics;apoe;imaging;treatment_efficacy;treatment_safety;anti_amyloid_therapy;aria;eligibility;association;causation,0.1,cohort_study,True,0.8,,
PMC12060273.1#Materials and Methods.16,PMC12060273.1,peer_reviewed_primary,genetics;differential_diagnosis;treatment_safety;anti_amyloid_therapy,0.04,,False,0.0,,
PMC12895146.1#Results.9,PMC12895146.1,peer_reviewed_primary,guidelines_and_consensus,0.036,,True,0.8,,
PMC8601817.1#3. Results.2,PMC8601817.1,peer_reviewed_primary,imaging;systematic_evidence,0.057,meta_analysis,False,0.0,,
PMC9875435.1#Results.34,PMC9875435.1,peer_reviewed_primary,mechanism,0.057,,True,0.8,,
PMC12198956.1#Results.9,PMC12198956.1,peer_reviewed_primary,monitoring,0.067,,True,1.0,,
PMC9911728.1#Results.28,PMC9911728.1,peer_reviewed_primary,pathology;biomarker;amyloid;genetics;imaging;anti_amyloid_therapy;aria;mechanism,0.067,,True,0.8,,
PMC11678239.1#5. Conclusions.0,PMC11678239.1,peer_reviewed_primary,prognosis;apoe;imaging;treatment_efficacy;anti_amyloid_therapy,0.062,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC12619174.1#Conclusions.1,PMC12619174.1,peer_reviewed_primary,risk_factor;staging;prognosis;genetics;differential_diagnosis;treatment_efficacy;treatment_safety;monitoring;systematic_evidence,0.114,systematic_review;narrative_review;evidence_synthesis;reference_work,False,0.0,,
PMC5095804.1#Synapses and neurodegenerative diseases.13,PMC5095804.1,peer_reviewed_primary,staging;prognosis;pathology;biomarker;imaging;treatment_efficacy;anti_amyloid_therapy;systematic_evidence;mechanism,0.114,evidence_synthesis,False,0.0,,
PMC9296447.1#Results.5,PMC9296447.1,peer_reviewed_primary,systematic_evidence,0.057,randomized_controlled_trial;meta_analysis,False,0.0,,
PMC8010695.1#Results.3,PMC8010695.1,peer_reviewed_primary,tau;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;systematic_evidence,0.067,meta_analysis,True,0.8,,
PMC3690421.1#Conclusion.1,PMC3690421.1,peer_reviewed_primary,treatment,0.057,,True,0.8,,
PMC12679780.1#Results.12,PMC12679780.1,peer_reviewed_primary,treatment_efficacy,0.031,reference_work,False,0.0,,
PMC13465329.1#2. Results.0,PMC13465329.1,peer_reviewed_primary,treatment_safety;systematic_evidence,0.057,evidence_synthesis,True,1.0,,
PMC3575072.1#Motor cortex and its projections to basal ganglia.0,PMC3575072.1,peer_reviewed_primary,,0.0,case_control_study,False,0.0,,
PMC8745123.1#4. Materials and Methods.1,PMC8745123.1,peer_reviewed_primary,amyloid;systematic_evidence,0.067,case_control_study;meta_analysis,True,1.0,,
PMC12209901.1#STAR★Methods.0,PMC12209901.1,peer_reviewed_primary,anti_amyloid_therapy,0.031,,True,1.0,,
PMC12065045.1#Results.23,PMC12065045.1,peer_reviewed_primary,apoe;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.073,randomized_controlled_trial;case_control_study,False,0.0,,
PMC12749965.1#Materials and methods.8,PMC12749965.1,peer_reviewed_primary,aria;systematic_evidence,0.057,meta_analysis,True,0.8,,
PMC8283878.1#METHODS.3,PMC8283878.1,peer_reviewed_primary,association,0.057,,False,0.0,,
PMC11084794.1#6. Conclusions and Future Directions.0,PMC11084794.1,peer_reviewed_primary,biomarker;tau;imaging;treatment_safety;systematic_evidence;mechanism,0.067,evidence_synthesis,True,0.8,,
PMC11694523.1#title.0,PMC11694523.1,peer_reviewed_primary,causation,0.057,,True,0.8,,
PMC11499442.1#Materials and Methods.8,PMC11499442.1,peer_reviewed_primary,diagnosis;treatment_safety;anti_amyloid_therapy;eligibility,0.04,,True,0.8,,
PMC8355349.1#Methods.0,PMC8355349.1,peer_reviewed_primary,differential_diagnosis;anti_amyloid_therapy;systematic_evidence,0.114,randomized_controlled_trial;systematic_review;meta_analysis;narrative_review,True,0.8,,
PMC5412466.1#1. Introduction.0,PMC5412466.1,peer_reviewed_primary,disease_definition;risk_factor;mechanism;causation,0.114,,False,0.0,,
PMC11438747.1#Results.1,PMC11438747.1,peer_reviewed_primary,eligibility,0.04,,False,0.0,,
PMC10615478.1#8. Interventions and management strategies.0,PMC10615478.1,peer_reviewed_primary,epidemiology;risk_factor;staging;prognosis;pathology;amyloid;genetics;apoe;imaging;differential_diagnosis;treatment_efficacy;treatment_safety;anti_amyloid_therapy;aria;eligibility;mechanism,0.133,case_control_study,True,0.8,,
PMC11252010.1#3 Results.20,PMC11252010.1,peer_reviewed_primary,genetics;treatment_safety,0.067,,True,0.8,,
PMC12777299.1#Results.9,PMC12777299.1,peer_reviewed_primary,guidelines_and_consensus,0.036,,False,0.0,,
PMC12622557.1#Results and Discussion.12,PMC12622557.1,peer_reviewed_primary,imaging;differential_diagnosis;anti_amyloid_therapy,0.057,,True,0.8,,
PMC6289980.1#Protein Kinases in Microglia-Mediated Neuroinflammation.10,PMC6289980.1,peer_reviewed_primary,mechanism,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC5633197.1#Results.1,PMC5633197.1,peer_reviewed_primary,monitoring,0.067,,False,0.0,,
PMC12214909.1#title.0,PMC12214909.1,peer_reviewed_primary,pathology;biomarker;amyloid;imaging;differential_diagnosis;anti_amyloid_therapy;eligibility,0.067,,True,0.8,,
PMC6468700.1#3. Functions of Presenilins in Membrane Protein Metabolism.1,PMC6468700.1,peer_reviewed_primary,prognosis;pathology;amyloid;imaging;differential_diagnosis;treatment_efficacy;anti_amyloid_therapy;eligibility,0.067,,True,0.8,,
PMC4926454.1#abstract.0,PMC4926454.1,peer_reviewed_primary,risk_factor;prognosis;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;systematic_evidence,0.067,systematic_review;narrative_review,True,0.8,,
PMC7335587.1#Results.3,PMC7335587.1,peer_reviewed_primary,staging;prognosis;treatment_efficacy,0.033,,False,0.0,,
PMC9903643.1#Data sharing statement.0,PMC9903643.1,peer_reviewed_primary,systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,False,0.0,,
PMC6299662.1#Results.9,PMC6299662.1,peer_reviewed_primary,tau,0.067,,True,0.8,,
PMC12491791.1#title.0,PMC12491791.1,peer_reviewed_primary,treatment,0.057,,True,1.0,,
PMC8527982.1#Introduction.7,PMC8527982.1,peer_reviewed_primary,treatment_efficacy,0.031,,True,0.8,,
PMC13104913.1#Methods.26,PMC13104913.1,peer_reviewed_primary,treatment_safety,0.036,,True,0.8,,
PMC13053939.1#METHODS.20,PMC13053939.1,peer_reviewed_primary,,0.0,,False,0.0,,
PMC6797798.1#Methods.15,PMC6797798.1,peer_reviewed_primary,amyloid;differential_diagnosis;treatment_efficacy;treatment_safety;anti_amyloid_therapy;systematic_evidence;association,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,True,0.8,,
PMC11247694.1#METHODS.5,PMC11247694.1,peer_reviewed_primary,anti_amyloid_therapy,0.031,,True,1.0,,
PMC7303181.1#Result.12,PMC7303181.1,peer_reviewed_primary,apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,case_control_study,True,0.8,,
PMC8930798.1#Materials and methods.7,PMC8930798.1,peer_reviewed_primary,aria;systematic_evidence,0.057,meta_analysis,True,0.8,,
PMC8990637.1#SARS-CoV-2 and neurodegenerative disorders.7,PMC8990637.1,peer_reviewed_primary,association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC13344988.3#Method.7,PMC13344988.3,peer_reviewed_primary,biomarker;amyloid;tau;genetics;aria;systematic_evidence;association,0.067,meta_analysis,True,0.8,,
PMC8742003.1#Results.2,PMC8742003.1,peer_reviewed_primary,causation,0.057,,False,0.0,,
PMC11449328.1#Material and Methods.1,PMC11449328.1,peer_reviewed_primary,diagnosis;staging;prognosis;treatment_efficacy;eligibility,0.08,professional_society_statement,True,0.8,,
PMC8866701.1#Conclusion.0,PMC8866701.1,peer_reviewed_primary,differential_diagnosis;treatment_safety;anti_amyloid_therapy;eligibility;monitoring,0.067,,True,1.0,,
PMC9291924.1#Neurodevelopmental Defects.2,PMC9291924.1,peer_reviewed_primary,disease_definition;epidemiology;diagnosis;prognosis;pathology;biomarker;tau;genetics;imaging;differential_diagnosis;treatment_efficacy;anti_amyloid_therapy;monitoring;guidelines_and_consensus;association,0.133,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;clinical_guideline,False,0.0,,
PMC12721985.1#Results.14,PMC12721985.1,peer_reviewed_primary,eligibility,0.04,,True,0.8,,
PMC12651649.1#4. Discussion.5,PMC12651649.1,peer_reviewed_primary,epidemiology;risk_factor;diagnosis;staging;prognosis;pathology;biomarker;tau;imaging;differential_diagnosis;treatment_efficacy;monitoring;systematic_evidence;mechanism;association,0.12,cohort_study;evidence_synthesis,False,0.0,,
PMC7170273.1#Discussion.6,PMC7170273.1,peer_reviewed_primary,genetics;differential_diagnosis;treatment_safety;anti_amyloid_therapy,0.04,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC12126173.1#Methods.4,PMC12126173.1,peer_reviewed_primary,guidelines_and_consensus;systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,False,0.0,,
PMC13528771.1#3. Results.25,PMC13528771.1,peer_reviewed_primary,imaging;systematic_evidence,0.057,meta_analysis;reference_work,True,0.8,,
PMC5395835.1#title.0,PMC5395835.1,peer_reviewed_primary,mechanism,0.057,,True,0.8,,
PMC10349216.1#RESULTS.0,PMC10349216.1,peer_reviewed_primary,monitoring;systematic_evidence,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,False,0.0,,
PMC6018190.1#Introduction.1,PMC6018190.1,peer_reviewed_primary,pathology;systematic_evidence,0.062,evidence_synthesis,False,0.0,,
PMC3525259.1#Latest genes in the ALDH database.0,PMC3525259.1,peer_reviewed_primary,prognosis;genetics;apoe;imaging;treatment_efficacy;anti_amyloid_therapy,0.062,,True,0.8,,
PMC4354637.1#Discussion.6,PMC4354637.1,peer_reviewed_primary,risk_factor;staging;genetics;apoe;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;association,0.114,,True,0.8,,
PMC8551075.1#STAR★Methods.10,PMC8551075.1,peer_reviewed_primary,staging;genetics;differential_diagnosis;treatment_efficacy;anti_amyloid_therapy;eligibility,0.08,,True,0.8,,
PMC10947111.1#METHODS.15,PMC10947111.1,peer_reviewed_primary,systematic_evidence,0.057,basic_science_study;meta_analysis,True,0.8,,
PMC6476873.1#Discussion.5,PMC6476873.1,peer_reviewed_primary,tau;differential_diagnosis;anti_amyloid_therapy,0.067,,False,0.0,,
PMC11154277.1#4. Conclusions.1,PMC11154277.1,peer_reviewed_primary,treatment;treatment_efficacy,0.062,,True,1.0,,
PMC10069371.1#Results.10,PMC10069371.1,peer_reviewed_primary,treatment_efficacy,0.031,reference_work,False,0.0,,
PMC7353635.1#3. Results and Discussion.2,PMC7353635.1,peer_reviewed_primary,treatment_safety,0.036,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC8171078.1#Results.22,PMC8171078.1,peer_reviewed_primary,,0.0,,False,0.0,,
PMC10916432.1#DISCUSSION.6,PMC10916432.1,peer_reviewed_primary,amyloid;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC4418010.1#2. Materials and Methods.2,PMC4418010.1,peer_reviewed_primary,anti_amyloid_therapy;aria,0.05,basic_science_study,True,1.0,,
PMC8078460.1#Introduction.4,PMC8078460.1,peer_reviewed_primary,apoe;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.133,,False,0.0,,
PMC7828160.1#4. Materials and Methods.3,PMC7828160.1,peer_reviewed_primary,aria,0.05,,True,1.0,,
PMC12800548.1#title.0,PMC12800548.1,peer_reviewed_primary,association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC12713129.1#RESULTS.12,PMC12713129.1,peer_reviewed_primary,biomarker,0.036,,True,0.8,,
PMC13356253.1#Results.14,PMC13356253.1,peer_reviewed_primary,causation,0.057,,False,0.0,,
PMC11160917.1#RESULTS.8,PMC11160917.1,peer_reviewed_primary,diagnosis;biomarker;imaging;eligibility;guidelines_and_consensus,0.114,case_control_study;diagnostic_accuracy_study,True,1.0,,
PMC10039413.1#Methods.3,PMC10039413.1,peer_reviewed_primary,differential_diagnosis;treatment_efficacy;anti_amyloid_therapy;eligibility;systematic_evidence,0.057,meta_analysis;reference_work,True,1.0,,
PMC11747398.1#Methods.2,PMC11747398.1,peer_reviewed_primary,disease_definition;diagnosis;biomarker;imaging;systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,True,0.8,,
PMC10578223.1#RESULTS.2,PMC10578223.1,peer_reviewed_primary,eligibility;causation,0.114,,True,0.8,,
PMC9407972.1#title.0,PMC9407972.1,peer_reviewed_primary,epidemiology;risk_factor;prognosis;genetics;apoe;treatment_safety;aria;association,0.1,,True,1.0,,
PMC4404698.1#Results.23,PMC4404698.1,peer_reviewed_primary,genetics;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,,True,1.0,,
PMC12121370.1#Materials and methods.10,PMC12121370.1,peer_reviewed_primary,guidelines_and_consensus,0.036,randomized_controlled_trial;cross_sectional_study,True,1.0,,
PMC9860449.1#Results.3,PMC9860449.1,peer_reviewed_primary,imaging;differential_diagnosis;anti_amyloid_therapy,0.057,,False,0.0,,
PMC7808989.1#Der Diskurs zum Umgang mit künftigen medizinethischen Herausforderungen.5,PMC7808989.1,peer_reviewed_primary,mechanism,0.057,,False,0.0,,
PMC4547713.1#Methods.6,PMC4547713.1,peer_reviewed_primary,monitoring,0.067,case_control_study,True,0.8,,
PMC5268396.1#Introduction.9,PMC5268396.1,peer_reviewed_primary,pathology;tau,0.067,,True,0.8,,
PMC10657827.1#Results.4,PMC10657827.1,peer_reviewed_primary,prognosis;pathology;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;systematic_evidence;causation,0.067,cohort_study;case_control_study;meta_analysis,False,0.0,,
PMC12732454.1#4. Discussion.2,PMC12732454.1,peer_reviewed_primary,risk_factor;staging;genetics;differential_diagnosis,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC10854137.1#Discussion.8,PMC10854137.1,peer_reviewed_primary,staging;prognosis;pathology;tau;apoe;treatment_efficacy;anti_amyloid_therapy,0.067,,True,1.0,,
PMC8186118.1#Methods.4,PMC8186118.1,peer_reviewed_primary,systematic_evidence,0.114,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;systematic_review;meta_analysis;narrative_review,False,0.0,,
PMC9237029.1#Conclusion.0,PMC9237029.1,peer_reviewed_primary,tau;genetics;treatment_safety,0.067,,True,0.8,,
PMC5666298.1#Results.25,PMC5666298.1,peer_reviewed_primary,treatment;systematic_evidence,0.057,meta_analysis,True,1.0,,
PMC12231801.1#Case report.9,PMC12231801.1,peer_reviewed_primary,treatment_efficacy,0.062,,False,0.0,,
PMC4960877.1#Materials and Methods.2,PMC4960877.1,peer_reviewed_primary,treatment_safety;anti_amyloid_therapy,0.036,,True,0.8,,
PMC7795340.1#4. Materials and Methods.2,PMC7795340.1,peer_reviewed_primary,,0.0,,True,1.0,,
PMC13325013.1#11. Liposome Nanoparticles.0,PMC13325013.1,peer_reviewed_primary,amyloid;treatment_safety;anti_amyloid_therapy;systematic_evidence,0.067,randomized_controlled_trial;evidence_synthesis,False,0.0,,
PMC2814869.1#Supporting Information.4,PMC2814869.1,peer_reviewed_primary,anti_amyloid_therapy;systematic_evidence,0.057,case_control_study;meta_analysis,True,0.8,,
PMC8006317.1#Results.1,PMC8006317.1,peer_reviewed_primary,apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;mechanism,0.067,case_control_study,True,0.8,,
PMC12132564.2#title.0,PMC12132564.2,peer_reviewed_primary,aria,0.05,,False,0.0,,
PMC6717349.1#title.0,PMC6717349.1,peer_reviewed_primary,association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC8202836.1#RESULTS.3,PMC8202836.1,peer_reviewed_primary,biomarker;genetics;apoe;aria;association,0.057,,True,1.0,,
PMC7667843.1#Results.7,PMC7667843.1,peer_reviewed_primary,causation,0.057,,True,0.8,,
PMC7450320.1#2. Materials and Methods.3,PMC7450320.1,peer_reviewed_primary,diagnosis;genetics;systematic_evidence,0.057,meta_analysis,True,0.8,,
PMC10894604.1#RESULTS.10,PMC10894604.1,peer_reviewed_primary,differential_diagnosis;anti_amyloid_therapy,0.04,,True,1.0,,
PMC10629466.1#Discussion.3,PMC10629466.1,peer_reviewed_primary,disease_definition;epidemiology;risk_factor;diagnosis;staging;prognosis;amyloid;genetics;apoe;differential_diagnosis;treatment_efficacy;treatment_safety;anti_amyloid_therapy;aria;guidelines_and_consensus;association,0.114,clinical_guideline,True,1.0,,
PMC6132187.1#Methods.13,PMC6132187.1,peer_reviewed_primary,eligibility,0.04,randomized_controlled_trial;reference_work,True,1.0,,
PMC8967984.1#Discussion.1,PMC8967984.1,peer_reviewed_primary,epidemiology;risk_factor;staging;prognosis;genetics;apoe;differential_diagnosis;treatment_efficacy;treatment_safety;aria;systematic_evidence,0.167,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,False,0.0,,
PMC12420264.1#Results.9,PMC12420264.1,peer_reviewed_primary,genetics;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.114,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC9708893.1#Materials and methods.1,PMC9708893.1,peer_reviewed_primary,guidelines_and_consensus,0.073,consensus_statement;professional_society_statement,True,1.0,,
PMC2857016.1#Introduction.1,PMC2857016.1,peer_reviewed_primary,imaging;differential_diagnosis;anti_amyloid_therapy,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;reference_work,True,0.8,,
PMC5010369.1#DISCUSSION.4,PMC5010369.1,peer_reviewed_primary,mechanism,0.057,,False,0.0,,
PMC9123725.1#abstract.1,PMC9123725.1,peer_reviewed_primary,monitoring,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC5595858.1#Introduction.1,PMC5595858.1,peer_reviewed_primary,pathology;amyloid;apoe;imaging;anti_amyloid_therapy;aria;eligibility;mechanism,0.185,,True,0.8,,
PMC12701875.1#Stem cell therapy for Parkinson’s disease.11,PMC12701875.1,peer_reviewed_primary,prognosis;pathology;apoe;imaging;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.133,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
